infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
41a9a2c73390f2be41ac17dc815d34abd1ad4508,2007-12-20 13:10:35,262144,2767,2,725090374
dbe447a13d3a805d9b6e11adc235202c49be70df,2005-07-12 13:21:59,262144,2797,0,733040640
8ee13173d2de59d707f1110d3319c41987cf74b3,2011-02-08 12:43:07,524288,1491,1164,781391265
0679178adf8c86311bdc67576de4c2d0a3c12763,2006-12-25 02:26:44,262144,2799,0,733724672
db6368fb0ec5911d880b2cf7a6dc2149d556acfc,2012-08-30 02:58:47,262144,2712,1,710934528
d11918fc42bb128a3f969838bacae9b6e72e3a71,2011-05-30 09:41:08,262144,6160,4,1614630546
90e3f47e2b07acdd9d86ec252707fd5072c46be5,2006-06-01 02:42:50,1048576,3216,0,3371372544
9323f615656d9cb21246051a7e2965e23ac69dbf,2013-01-14 11:02:10,262144,3325,2,871367737
8a253c3b71edc1df6b4ba98e105069f1fe9abdb9,2010-04-27 17:18:59,2097152,7546,11,15824937039
3648ef666665eb000835408e479b5cf8ef7c1f0a,2011-03-27 23:09:31,262144,4629,4,1213439844
13ac8bb4a0d0c714710fa242c2cdced6c4f445e8,2007-11-06 14:02:05,262144,6030,2,1580621894
42c090c9d31e7c7bd21d9cd8abce20ba94dae9e5,2005-06-25 12:05:51,262144,2801,0,734187520
25bcdc20cf68d8849fafb96b253abd5a05d18cd1,2005-10-23 02:47:55,262144,2801,0,734189568
40cf347e39fe45e3c5bfde8d844015cde10ad1e8,2011-01-24 02:08:40,262144,2818,5,738577801
f4c08bb37b91e9749419011cc85418cae632e25e,2010-12-14 09:31:43,262144,4621,4,1211345325
6d1523dce730ef5368f4bf5d28ddf99d5dc0e152,2012-03-08 08:47:09,524288,3173,4,1663189460
07a9de9750158471c3302e4e95edb1107f980fa6,2010-06-15 08:59:11,262144,4595,3,1204449114
6cb353465a5ecebce93c2fe60c43dcc830048413,2005-06-18 04:48:35,262144,2801,0,734160896
677990ea4143f079f99acd0ae843a3b2c1c127e2,2006-06-01 02:43:25,1048576,3396,0,3560097792
9efea62359e32b14095c9df13fa5165cd28d2dc2,2005-07-18 10:45:33,262144,2801,0,734214144
39213d2966f4ec3e540dcb62bd66624dcc6367de,2012-09-13 22:32:52,524288,7628,0,3999268864
557e8a53c45127774f88000822142fbf454c93a0,2005-10-23 02:57:01,262144,2800,0,733992960
a3fbda1961fbc908026ec7cc4569d5fbef840c1e,2008-05-30 12:41:43,262144,3543,0,928670754
3d062d3b57481f23af8bd736ccfaaae0ccddf4b3,2011-04-27 06:30:50,262144,4739,4,1242190534
b735039bf036dfa158281474a225ea54dd816138,2008-05-12 12:58:55,262144,13665,7,3582100228
8ac3aab42daeeb341d1034de8fb167cfefb64f00,2006-05-02 00:49:36,262144,2795,0,732649472
a4f2ddf4b678819fbeefdd31f496c9b1d172d627,2007-12-04 09:07:09,262144,2905,0,761372426
bde473b80d1e304a1dc784cffa0e2ea0489763a8,2008-02-21 22:30:32,2097152,1749,764,3667297285
129f6031b2509bc52daa999f430f2ee5e60b4188,2005-08-17 22:04:07,262144,3125,2,819105271
a4e5692aa64e86a18ef7f2a33e7acb7344db606a,2010-02-15 22:43:38,2097152,1718,646,3600996115
a9610ba30d48a2568ca0efcd5f67ee774ca6ed23,2005-08-20 09:42:30,262144,2801,0,734228480
a781e5e83ba7192fd57cecd3386a88a948384e10,2005-07-18 10:42:47,262144,2797,0,733007872
ce4d026631804f41bb4d20972b1b55ab5f21086b,2006-05-30 01:37:31,262144,2797,0,733216768
3d062d3b57481f23af8bd736ccfaaae0ccddf4b3,2011-04-27 06:30:50,262144,4739,4,1242190534
a8942efc9872e718954dfc6754d91b578320a191,2008-05-12 13:06:54,262144,2774,2,727169406
829c6beea4cdd1be16e9108122ee2a43218ba7e9,2006-12-25 02:30:38,262144,2799,0,733700356
aa382b0eba23963cf94fe5f363f0900957bb77f2,2006-06-01 02:42:16,1048576,3284,0,3443007488
a9f35c70b29708bb0af77dad926380aadfad483b,2012-05-11 09:52:16,4194304,3700,18,15517687795
a824192a2c3b1bb29b42ce48229a36956154dca0,2007-03-15 08:47:42,262144,15099,1,3957903360
18493faf15c6b09d2fff567c0e8235ca60adf0a4,2007-10-18 11:37:11,262144,6458,0,1692823423
d3aff05dea6b29167fe8ccf49005dd165aa10024,2008-05-12 13:00:16,262144,2766,2,724975994
f646e4b787f9b009b93e9f09536f5ea3ef54b498,2008-05-12 13:01:20,262144,16339,8,4283005757
b744c148bbed688aa6e7492efd7b1471fc45570a,2005-08-08 11:48:09,262144,2800,0,733878272
